"BAYES_prob"	"BAYES_log10.PO."	"BAYES_qval"	"BAYES_alpha"	"BAYES_fst"	"ID"	"Outlier_Type"
"35328"	0.95759	1.3537	0.0070388	1.9886	0.27548	35328	"Bayescan Host"
"36704"	0.82577	0.67572	0.026525	1.4362	0.20951	36704	"Bayescan Host"
"36952"	0.91218	1.0165	0.013667	1.6234	0.22869	36952	"Bayescan Host"
"36967"	0.85077	0.75596	0.023607	1.5507	0.22277	36967	"Bayescan Host"
"37503"	0.992	2.0933	0.0012857	1.9414	0.26551	37503	"Bayescan Host"
"37505"	0.997	2.5215	0.00043645	2.1477	0.2943	37505	"Bayescan Host"
"38088"	1	1000	0	2.7261	0.38293	38088	"Bayescan Host"
"38089"	1	1000	0	2.6114	0.36471	38089	"Bayescan Host"
"38098"	1	1000	0	2.6804	0.37565	38098	"Bayescan Host"
"38148"	0.9904	2.0135	0.0014845	1.9865	0.27183	38148	"Bayescan Host"
"38893"	1	1000	0	2.8167	0.39866	38893	"Bayescan Host"
"39313"	0.999	2.9995	0.00012128	2.3089	0.31767	39313	"Bayescan Host"
"40910"	0.95439	1.3207	0.0081453	1.9219	0.266	40910	"Bayescan Host"
"41138"	1	1000	0	2.6078	0.36394	41138	"Bayescan Host"
"41139"	0.9992	3.0965	9.2701e-05	2.308	0.31738	41139	"Bayescan Host"
"41524"	0.9984	2.7951	0.00023026	2.4659	0.34339	41524	"Bayescan Host"
"42842"	0.88958	0.90613	0.017586	1.705	0.24065	42842	"Bayescan Host"
"42843"	1	1000	0	2.5914	0.36078	42843	"Bayescan Host"
"43085"	0.9978	2.6565	0.00031376	2.4537	0.3416	43085	"Bayescan Host"
"43103"	1	1000	0	2.5784	0.35883	43103	"Bayescan Host"
"43509"	1	1000	0	2.7202	0.38039	43509	"Bayescan Host"
"44277"	0.70314	0.37449	0.049231	1.3095	0.20266	44277	"Bayescan Host"
"45398"	0.76155	0.50431	0.042069	1.3523	0.20375	45398	"Bayescan Host"
"46388"	0.9776	1.6398	0.0040948	2.0097	0.27645	46388	"Bayescan Host"
"46695"	0.9998	3.6988	2.2227e-05	2.5313	0.35348	46695	"Bayescan Host"
"46698"	1	1000	0	2.6035	0.36273	46698	"Bayescan Host"
"46700"	1	1000	0	2.6362	0.36735	46700	"Bayescan Host"
"46884"	0.96599	1.4534	0.0059	2.0739	0.28725	46884	"Bayescan Host"
"46885"	0.9966	2.467	0.00052589	2.2145	0.30476	46885	"Bayescan Host"
"47028"	1	1000	0	2.691	0.37691	47028	"Bayescan Host"
"47872"	0.9934	2.1775	0.00094076	2.0073	0.27466	47872	"Bayescan Host"
"48321"	0.9832	1.7672	0.0029749	2.2124	0.30623	48321	"Bayescan Host"
"48655"	0.89258	0.91956	0.016701	1.6647	0.23435	48655	"Bayescan Host"
"48713"	0.9906	2.0227	0.0014416	2.1154	0.29035	48713	"Bayescan Host"
"49252"	0.9994	3.2215	6.2724e-05	2.4683	0.3437	49252	"Bayescan Host"
"49766"	1	1000	0	2.6494	0.37044	49766	"Bayescan Host"
"49948"	0.79056	0.57687	0.037027	1.4802	0.21852	49948	"Bayescan Host"
"50071"	0.9784	1.656	0.0039396	1.8232	0.24984	50071	"Bayescan Host"
"52571"	0.90038	0.95608	0.015536	1.8613	0.26244	52571	"Bayescan Host"
"53590"	0.77415	0.53502	0.040007	1.449	0.21574	53590	"Bayescan Host"
"53815"	0.94919	1.2714	0.0091607	1.9935	0.27621	53815	"Bayescan Host"
"54354"	1	1000	0	2.6164	0.36431	54354	"Bayescan Host"
"55937"	0.80756	0.62288	0.03284	1.4788	0.21767	55937	"Bayescan Host"
"56693"	0.988	1.9155	0.0019574	2.2993	0.31929	56693	"Bayescan Host"
"57347"	0.92438	1.0872	0.012738	1.8713	0.26135	57347	"Bayescan Host"
"57348"	0.80876	0.62625	0.03148	1.5376	0.22479	57348	"Bayescan Host"
"57944"	0.73115	0.43449	0.045532	1.3232	0.20245	57944	"Bayescan Host"
"58096"	0.9926	2.1275	0.0011794	2.3538	0.32785	58096	"Bayescan Host"
"58097"	0.9888	1.9458	0.0017555	2.3529	0.32764	58097	"Bayescan Host"
"58427"	0.9852	1.8232	0.0026606	2.0469	0.28098	58427	"Bayescan Host"
"19952"	1	1000	0	2.8133	0.38412	19952	"Bayescan Location"
"19953"	1	1000	0	2.8183	0.38472	19953	"Bayescan Location"
"22449"	0.88838	0.90085	0.019937	1.9936	0.29337	22449	"Bayescan Location"
"22459"	1	1000	0	2.6347	0.36201	22459	"Bayescan Location"
"23679"	0.9994	3.2215	0.00014548	2.5247	0.34922	23679	"Bayescan Location"
"23693"	0.88418	0.88274	0.023362	2.0807	0.30343	23693	"Bayescan Location"
"23694"	0.78256	0.55617	0.039452	1.9032	0.2886	23694	"Bayescan Location"
"23705"	1	1000	0	3.1684	0.4314	23705	"Bayescan Location"
"23720"	0.90378	0.9728	0.012611	1.9882	0.29181	23720	"Bayescan Location"
"24076"	0.9954	2.3352	0.0011502	2.3519	0.32945	24076	"Bayescan Location"
"25134"	0.88058	0.86768	0.029706	1.9909	0.29348	25134	"Bayescan Location"
"25140"	0.9938	2.2048	0.0014473	2.2659	0.31941	25140	"Bayescan Location"
"25141"	1	1000	0	2.6408	0.3626	25141	"Bayescan Location"
"25198"	0.97019	1.5126	0.0047737	2.1104	0.30307	25198	"Bayescan Location"
"29039"	0.84617	0.74041	0.03371	2.1365	0.3128	29039	"Bayescan Location"
"31719"	1	1000	0	2.8251	0.38658	31719	"Bayescan Location"
"31720"	0.9998	3.6988	2.5005e-05	2.8168	0.3855	31720	"Bayescan Location"
"31721"	0.9996	3.3977	0.00010002	2.8137	0.38496	31721	"Bayescan Location"
"32125"	0.9992	3.0965	0.00020004	2.6876	0.36939	32125	"Bayescan Location"
"32762"	0.88238	0.87516	0.026612	2.1112	0.30731	32762	"Bayescan Location"
"32767"	0.9956	2.3545	0.00092018	2.4206	0.33748	32767	"Bayescan Location"
"32784"	0.9966	2.467	0.00044624	2.6137	0.3612	32784	"Bayescan Location"
"32806"	0.979	1.6685	0.0035817	2.3553	0.33055	32806	"Bayescan Location"
"32808"	0.9908	2.0321	0.0021267	2.9969	0.41156	32808	"Bayescan Location"
"37876"	0.88858	0.90172	0.016411	1.9558	0.28906	37876	"Bayescan Location"
"40153"	0.9934	2.1775	0.0017337	2.7795	0.38148	40153	"Bayescan Location"
"40156"	0.9862	1.854	0.0027105	2.2858	0.32216	40156	"Bayescan Location"
"40166"	0.71194	0.39297	0.046985	1.7593	0.27704	40166	"Bayescan Location"
"43857"	1	1000	0	2.8911	0.39367	43857	"Bayescan Location"
"43861"	0.94279	1.2169	0.0091268	2.1988	0.31466	43861	"Bayescan Location"
"43862"	0.9964	2.442	0.00067156	2.4641	0.34236	43862	"Bayescan Location"
"43871"	0.94319	1.2202	0.0070362	2.2746	0.32318	43871	"Bayescan Location"
"50554"	0.9996	3.3977	0.00010002	3.1467	0.43021	50554	"Bayescan Location"
